Flip Test is used --- False
Turning on evaluation mode...
Loading weight ... TrainedModels/Baseline_alt.pth
Using metric-base binary for evaluation!
Video level evaluation mode: True
Dataset loading time --- 33.268240451812744
Inferencing time --- 979.8356533050537
Inferencing time --- 979.9669680595398
Inferencing time --- 980.097149848938
Inferencing time --- 980.2269189357758
Inferencing time --- 988.4865441322327
Inferencing time --- 988.6548857688904
Inferencing time --- 988.8042621612549
Inferencing time --- 988.9360690116882
Inferencing time --- 989.2143790721893
Inferencing time --- 989.3394088745117
Inferencing time --- 989.4718315601349
Inferencing time --- 998.2176311016083
Inferencing time --- 998.381397485733
Inferencing time --- 998.5143301486969
Inferencing time --- 998.6424627304077
Inferencing time --- 999.1982612609863
Inferencing time --- 999.3295562267303
Inferencing time --- 999.4552772045135
Inferencing time --- 1008.6808383464813
Inferencing time --- 1008.837146282196
Inferencing time --- 1008.9703795909882
Inferencing time --- 1009.1007797718048
Inferencing time --- 1009.9418709278107
Inferencing time --- 1010.0655601024628
Inferencing time --- 1010.1969077587128
Inferencing time --- 1018.5358417034149
Inferencing time --- 1018.6901898384094
Inferencing time --- 1018.8328912258148
Inferencing time --- 1018.9637842178345
Inferencing time --- 1019.7550415992737
Inferencing time --- 1019.9473152160645
Inferencing time --- 1020.0781371593475
Inferencing time --- 1028.4991261959076
Inferencing time --- 1028.6653046607971
Inferencing time --- 1028.8009278774261
Inferencing time --- 1028.9327683448792
Inferencing time --- 1031.2259209156036
Inferencing time --- 1031.3940851688385
Inferencing time --- 1031.5520067214966
Inferencing time --- 1039.0302283763885
Inferencing time --- 1039.187409877777
Inferencing time --- 1039.336548089981
Inferencing time --- 1039.467324256897
Inferencing time --- 1040.8002121448517
Inferencing time --- 1041.3023920059204
Inferencing time --- 1041.4299993515015
Inferencing time --- 1049.1458780765533
Inferencing time --- 1049.3135375976562
Inferencing time --- 1049.453130722046
Inferencing time --- 1049.5825390815735
Inferencing time --- 1051.230789899826
Inferencing time --- 1051.450246334076
Inferencing time --- 1051.5786998271942
Inferencing time --- 1058.9127678871155
Inferencing time --- 1059.0738620758057
Inferencing time --- 1059.2273993492126
Inferencing time --- 1059.3661363124847
Inferencing time --- 1061.3063397407532
Inferencing time --- 1062.4986715316772
Inferencing time --- 1062.6246364116669
Inferencing time --- 1068.956824541092
Inferencing time --- 1069.124102115631
Inferencing time --- 1069.2786989212036
Inferencing time --- 1069.4095487594604
Inferencing time --- 1072.0039064884186
Inferencing time --- 1073.5522956848145
Inferencing time --- 1073.6923415660858
Inferencing time --- 1079.5316104888916
Inferencing time --- 1079.6893165111542
Inferencing time --- 1079.825982093811
Inferencing time --- 1079.954400062561
Inferencing time --- 1082.790052652359
Inferencing time --- 1084.3480741977692
Inferencing time --- 1084.4991297721863
