Loading val dataloader successfully! -- 11.188063621520996
Loading Train dataloader successfully! -- 45.45161485671997
Starting training process...
Epoch: [0][445/510]	Time 2.716s (0.969s)	Speed 11.8 samples/s	Data 2.440s (0.711s)	Loss 285.88541 (356.91442)	Accuracy 0.594 (0.583)	 Cls Loss: 0.64705	 loss_cstency: 98.60045	 loss_hsic: 0.00219
Epoch: [0][450/510]	Time 0.666s (0.965s)	Speed 48.0 samples/s	Data 0.423s (0.707s)	Loss 308.24786 (356.15236)	Accuracy 0.656 (0.583)	 Cls Loss: 0.64267	 loss_cstency: 97.77213	 loss_hsic: 0.00245
Epoch: [0][455/510]	Time 0.553s (0.966s)	Speed 57.9 samples/s	Data 0.309s (0.709s)	Loss 298.25613 (355.41311)	Accuracy 0.750 (0.584)	 Cls Loss: 0.63456	 loss_cstency: 92.69491	 loss_hsic: 0.00222
Epoch: [0][460/510]	Time 0.584s (0.967s)	Speed 54.8 samples/s	Data 0.339s (0.710s)	Loss 280.79645 (354.65587)	Accuracy 0.750 (0.585)	 Cls Loss: 0.63183	 loss_cstency: 102.37788	 loss_hsic: 0.00228
Epoch: [0][465/510]	Time 0.590s (0.963s)	Speed 54.2 samples/s	Data 0.346s (0.706s)	Loss 304.92227 (353.98561)	Accuracy 0.531 (0.586)	 Cls Loss: 0.67093	 loss_cstency: 91.13483	 loss_hsic: 0.00232
Epoch: [0][470/510]	Time 0.557s (0.963s)	Speed 57.5 samples/s	Data 0.312s (0.706s)	Loss 295.00494 (353.30313)	Accuracy 0.562 (0.586)	 Cls Loss: 0.65902	 loss_cstency: 101.49292	 loss_hsic: 0.00215
Epoch: [0][475/510]	Time 0.558s (0.962s)	Speed 57.4 samples/s	Data 0.312s (0.705s)	Loss 274.14969 (352.57696)	Accuracy 0.594 (0.587)	 Cls Loss: 0.65518	 loss_cstency: 89.48454	 loss_hsic: 0.00219
Epoch: [0][480/510]	Time 2.998s (0.963s)	Speed 10.7 samples/s	Data 2.737s (0.706s)	Loss 293.76642 (351.89913)	Accuracy 0.531 (0.588)	 Cls Loss: 0.63939	 loss_cstency: 95.03668	 loss_hsic: 0.00233
Epoch: [0][485/510]	Time 0.581s (0.959s)	Speed 55.1 samples/s	Data 0.335s (0.702s)	Loss 271.57715 (351.17341)	Accuracy 0.656 (0.589)	 Cls Loss: 0.62936	 loss_cstency: 90.74360	 loss_hsic: 0.00231
Epoch: [0][490/510]	Time 0.554s (0.959s)	Speed 57.8 samples/s	Data 0.310s (0.703s)	Loss 305.00394 (350.56977)	Accuracy 0.719 (0.589)	 Cls Loss: 0.65715	 loss_cstency: 97.75264	 loss_hsic: 0.00239
Epoch: [0][495/510]	Time 0.588s (0.961s)	Speed 54.4 samples/s	Data 0.342s (0.704s)	Loss 269.01294 (349.85560)	Accuracy 0.625 (0.590)	 Cls Loss: 0.66573	 loss_cstency: 93.73091	 loss_hsic: 0.00229
Epoch: [0][500/510]	Time 4.850s (0.966s)	Speed 6.6 samples/s	Data 4.584s (0.709s)	Loss 268.92258 (349.13961)	Accuracy 0.688 (0.590)	 Cls Loss: 0.63114	 loss_cstency: 92.29763	 loss_hsic: 0.00245
Epoch: [0][505/510]	Time 0.526s (0.961s)	Speed 60.9 samples/s	Data 0.283s (0.705s)	Loss 330.09048 (348.58437)	Accuracy 0.531 (0.590)	 Cls Loss: 0.68504	 loss_cstency: 122.18120	 loss_hsic: 0.00218
Epoch: [0][0/353]	Time 8.400s (8.400s)	Speed 3.8 samples/s	Data 8.216s (8.216s)	Loss 952855.31250 (952855.31250)	Accuracy 0.594 (0.594)	 Cls Loss: 3.77526	 loss_cstency: 725.19873	 loss_hsic: 952173.81250
Epoch: [0][1/353]	Time 0.474s (4.437s)	Speed 67.6 samples/s	Data 0.324s (4.270s)	Loss nan (nan)	Accuracy 0.562 (0.578)	 Cls Loss: 7.04826	 loss_cstency: 1062.23500	 loss_hsic: nan
Epoch: [0][2/353]	Time 0.482s (3.118s)	Speed 66.4 samples/s	Data 0.332s (2.957s)	Loss nan (nan)	Accuracy 0.625 (0.594)	 Cls Loss: 3.85000	 loss_cstency: 940.71183	 loss_hsic: nan
Epoch: [0][3/353]	Time 0.462s (2.454s)	Speed 69.3 samples/s	Data 0.312s (2.296s)	Loss 245922480388282735656960.00000 (nan)	Accuracy 0.500 (0.570)	 Cls Loss: 4.00261	 loss_cstency: 1149.90920	 loss_hsic: 245922480388282735656960.00000
Epoch: [0][4/353]	Time 0.496s (2.063s)	Speed 64.5 samples/s	Data 0.345s (1.906s)	Loss nan (nan)	Accuracy 0.594 (0.575)	 Cls Loss: 10.12001	 loss_cstency: 1641.13404	 loss_hsic: nan
